divkFa,corr_method,A,mstar,F,F_err
-1.0,Chevy-CCD,0.45,1.04,0.06568084776605744,0.000499840559786933
-0.5,Chevy-CCD,0.63,1.08,0.1181493248817466,0.0005877714998969191
0.0,Chevy-CCD,1.01,1.17,0.24354701100929235,0.0032206095759266897
0.2,Chevy-CCD,1.28,1.26,0.36442863787276863,0.01153134635839492
0.4,Chevy-CCD,1.69,1.39,0.4897688059788843,0.04557291919301119
0.0,FN-DMC,1.01,1.17,0.24236581968785667,0.006589806866919517
0.2,FN-DMC,1.28,1.26,0.329405950205393,0.010606274323800959
0.4,FN-DMC,1.69,1.39,0.4275285042840616,0.011403961687927783
0.5,FN-DMC,1.96,1.49,0.4755518368994901,0.0215134520293779
0.7,FN-DMC,2.66,1.78,0.5265286644970653,0.03785706391096798
